"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"Sema3c" 0 0 0 1 1 0 0 17 0 20 6 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 10 0 0 0 1 1 0 2 0 3 0 0 9 10 0 0 0 0 0 0 1 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 1 0 7 9 0 0 4 30 0 1 0 0 0 19 0 0 0 0 15 3 0 0 1 0 1 6 0 0 0 8 0 21 0 0 0 0 9 17 0 0 0 0 0 0 0 13 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 12 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 0 0 0 1 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0
"Ptprm" 0 0 0 0 0 0 0 15 0 12 2 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 2 0 5 4 0 0 0 8 0 0 8 0 0 0 0 7 0 0 0 0 1 0 0 0 0 3 0 1 0 0 10 0 1 1 0 0 0 0 0 0 4 0 2 0 0 4 2 0 0 0 0 0 0 0 0 0 3 0 39 0 0 0 1 13 2 0 0 0 0 0 0 0 3 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5 11 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 15 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 2 1 3 0 1 0 1 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 1 0
"Cplx1" 8 0 0 5 0 0 0 14 0 18 1 7 0 1 0 0 1 0 63 0 0 0 0 0 0 0 33 0 0 0 12 28 0 20 1 3 0 0 13 26 0 0 0 30 0 0 4 2 0 0 1 19 1 3 1 0 0 0 0 0 0 13 10 31 0 6 26 0 0 2 17 0 3 0 8 0 18 0 0 0 42 21 8 0 5 1 0 13 7 0 0 0 2 2 49 0 0 0 0 31 10 0 2 0 6 0 0 0 2 0 19 0 0 0 0 0 1 4 2 6 0 0 1 0 2 8 14 1 0 0 0 3 0 0 0 0 0 39 2 0 0 0 0 1 0 0 1 0 0 0 33 0 0 3 0 17 14 0 11 0 6 0 0 0 0 2 0 23 87 0 6 0 0 0 0 0 2 7 0 0 6 1 0 0 1 0 0 0 20 2 13 0 0 5 0 0 0 0 0 0
"Col19a1" 4 0 0 0 0 0 0 5 0 1 17 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 16 0 6 0 0 0 0 0 0 0 0 0 13 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 8 0 3 0 7 0 0 0 10 0 0 0 0 0 0 0 0 0 0 5 11 1 0 0 0 0 0 16 0 0 0 0 0 1 0 0 0 0 4 21 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 42 0 0 0 0 0 0 0 0 7 0 0 0 1 0 0 0 0 0 1 25 0 28 0 0 0 0 0 0 0 0 0
"Rph3a" 7 0 0 0 0 0 0 8 0 10 8 2 0 0 0 0 0 0 37 6 0 0 0 0 1 0 13 0 0 0 6 3 0 5 0 2 0 0 28 20 0 0 0 5 0 0 3 0 0 1 1 17 0 0 3 0 0 0 0 0 0 2 0 13 0 8 13 2 0 1 16 0 0 0 0 0 2 0 0 0 19 16 0 0 0 0 0 0 3 0 0 0 5 0 22 0 0 0 0 5 16 0 0 0 0 0 1 0 8 0 24 0 0 0 0 0 0 0 2 2 0 0 0 0 0 27 19 0 0 0 0 0 2 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 3 0 16 0 0 0 0 0 0 0 0 0 0 0 13 2 0 2 0 0 0 2 0 3 4 0 0 0 2 0 0 0 0 0 0 3 0 8 0 0 3 0 0 0 0 0 0
"Setd7" 1 1 0 2 1 1 0 7 0 5 2 0 0 1 0 0 0 0 9 0 0 0 0 0 0 1 4 0 0 0 4 12 1 3 2 1 0 0 1 3 1 0 1 3 0 0 3 6 0 4 0 16 0 0 0 0 1 0 0 1 0 3 3 0 2 3 4 1 0 3 9 0 1 0 1 1 8 0 1 0 6 17 2 1 5 0 0 1 3 1 0 0 2 0 1 0 1 1 0 4 2 0 1 0 2 1 0 0 0 1 7 0 0 0 0 1 1 0 4 1 0 0 0 0 2 5 5 0 0 0 0 1 1 1 0 1 4 0 0 0 0 0 0 0 0 0 1 0 0 0 6 0 0 1 0 5 1 2 3 2 1 0 0 0 0 0 0 1 7 1 3 2 0 0 0 0 0 2 1 0 3 1 0 3 1 0 1 0 5 1 5 0 0 1 0 1 0 0 0 2
"Gad2" 13 2 0 0 0 0 0 62 0 78 24 31 0 0 0 0 0 0 108 0 0 0 0 0 0 0 6 0 0 0 29 20 0 21 0 10 0 0 51 49 0 0 0 64 0 0 34 0 0 0 0 27 0 0 0 0 0 0 0 1 0 21 0 55 0 13 47 0 0 36 30 0 0 0 0 0 12 0 0 0 5 33 12 0 0 0 0 0 9 0 0 0 14 0 74 0 0 3 0 85 14 0 0 0 0 0 0 0 30 0 83 0 0 0 0 0 0 0 0 21 0 0 0 0 0 42 61 0 0 0 0 0 0 0 0 0 0 44 2 0 0 0 0 0 0 0 1 0 0 0 88 0 0 7 0 69 0 0 0 0 0 0 0 0 0 0 0 39 75 0 9 0 0 0 0 0 41 14 0 0 0 4 0 0 0 0 0 0 45 0 16 0 0 3 0 0 0 0 0 2
"Phyhipl" 7 0 0 1 0 0 0 9 1 3 3 3 2 0 0 0 0 1 15 2 0 1 1 9 5 0 2 0 0 1 0 23 1 4 0 1 2 0 6 9 4 4 0 10 0 0 2 3 0 1 0 11 0 1 9 1 0 2 0 1 0 3 6 6 6 6 3 0 0 6 13 0 0 0 0 1 10 1 1 1 27 17 1 0 0 0 4 0 3 0 0 1 2 4 4 3 0 0 0 2 7 0 2 5 0 2 0 0 4 2 11 0 0 0 7 0 0 0 3 6 0 0 0 1 1 5 1 0 0 3 0 0 0 0 0 0 1 7 3 2 0 0 3 1 0 0 0 0 0 1 5 2 2 0 2 3 0 2 3 3 0 5 0 0 0 1 2 12 18 0 2 0 0 0 1 0 4 4 0 1 1 1 1 2 0 0 0 0 8 0 10 2 1 1 1 5 2 0 0 6
"Pak1" 0 3 0 7 2 1 2 2 0 5 4 0 0 8 3 0 4 0 14 1 0 0 0 5 4 1 6 0 0 0 8 2 5 1 7 3 0 0 0 1 3 0 2 6 1 0 1 10 0 1 4 2 0 7 0 1 4 0 1 5 2 4 17 8 1 5 3 0 0 3 3 0 10 1 7 1 0 0 0 1 2 4 3 0 6 5 0 11 0 3 0 0 2 8 2 3 0 0 0 8 2 1 3 1 8 2 0 3 1 8 5 0 1 0 0 1 7 0 14 5 0 0 2 0 1 1 2 3 6 0 0 10 3 1 2 2 1 3 1 8 1 0 0 3 1 1 6 0 1 2 2 0 0 0 0 8 13 4 19 5 6 2 0 0 0 4 3 5 8 0 2 0 1 2 13 0 0 1 1 1 5 2 4 0 10 5 2 0 4 1 12 3 3 8 0 1 0 0 2 0
"Tanc2" 3 0 4 14 0 0 3 5 2 5 2 0 1 1 3 0 2 1 9 0 0 1 0 0 3 0 0 0 2 0 2 0 7 2 2 1 0 1 4 3 0 0 5 5 0 0 2 9 0 2 3 2 0 4 3 1 1 0 1 1 0 2 7 5 0 2 1 3 3 4 5 0 9 2 3 1 6 0 0 1 0 4 2 1 11 2 0 6 3 3 0 1 1 3 6 0 0 1 0 10 2 1 2 0 4 0 0 0 1 6 7 1 3 0 0 6 5 0 13 4 0 1 2 0 1 7 4 6 6 0 0 3 0 1 0 3 0 1 0 6 0 0 0 3 0 0 3 0 0 1 1 1 0 0 0 8 7 8 12 2 3 0 5 0 0 3 0 2 3 0 1 0 2 2 4 0 6 2 0 0 4 1 2 0 5 2 1 0 9 2 9 1 3 2 0 0 0 0 1 0
"Hnrnph1" 3 0 4 7 0 0 3 8 1 0 1 2 0 2 0 0 3 2 10 0 1 0 0 0 6 0 1 0 0 2 7 0 4 0 2 3 1 0 2 5 1 0 0 2 0 0 3 7 0 1 3 4 0 1 1 0 2 0 2 2 0 2 10 7 0 0 4 1 3 7 2 0 6 2 3 0 3 0 0 0 1 2 0 1 11 0 6 9 1 3 0 0 3 4 2 1 0 2 0 2 1 0 1 0 6 0 0 1 0 4 7 2 1 0 0 3 4 3 11 0 0 0 2 0 2 8 2 5 9 0 0 1 0 0 1 2 2 3 0 5 0 1 1 4 0 0 6 2 2 5 3 0 0 2 2 4 10 1 13 6 3 0 0 1 0 2 1 3 7 0 2 1 0 0 4 2 2 2 1 0 9 0 3 3 12 1 2 0 10 5 7 0 1 5 2 1 1 0 0 1
"Arhgef12" 6 0 1 4 0 2 1 0 3 4 3 1 1 1 1 1 3 2 13 0 0 0 1 0 1 0 5 0 0 1 3 4 0 1 1 1 2 1 4 4 1 0 3 5 1 0 0 5 0 0 1 3 0 1 1 2 1 5 0 0 0 3 12 3 0 1 2 0 0 0 10 0 3 4 5 0 3 2 2 0 14 5 0 0 8 4 0 6 2 4 1 1 4 3 8 0 0 0 0 1 6 2 2 0 3 0 1 0 5 7 5 2 0 0 1 3 6 0 4 2 0 1 1 1 1 8 9 2 3 0 0 4 1 2 3 3 0 2 0 3 0 0 0 2 0 3 4 0 3 1 4 1 0 0 5 15 3 1 7 0 4 3 0 4 1 2 2 2 13 1 5 0 0 1 6 0 1 2 0 0 7 2 1 0 2 0 0 4 5 1 1 0 0 1 0 1 3 1 0 8
"Srsf1" 2 0 0 5 0 1 4 4 2 7 4 4 0 2 0 0 5 3 9 0 1 0 0 1 4 0 3 0 0 1 4 1 1 2 7 2 0 0 1 3 0 0 1 5 0 1 0 10 1 1 3 3 0 2 0 0 1 0 0 5 0 1 7 2 2 0 0 0 2 2 6 1 4 0 5 1 2 1 0 1 1 4 1 1 2 1 0 2 4 2 0 0 4 4 3 0 0 0 0 3 0 0 0 1 3 2 0 1 2 2 7 0 1 0 0 3 4 1 4 1 1 1 4 2 1 2 1 1 2 0 0 2 0 2 0 3 1 0 0 1 2 0 0 1 1 1 1 0 0 1 1 1 1 1 0 2 3 4 9 0 2 0 0 2 0 3 0 3 5 0 3 0 0 0 0 0 2 1 0 0 4 2 2 0 5 0 1 0 0 6 1 0 0 0 1 1 0 0 1 0
"Lrrc4c" 0 0 0 10 0 0 0 0 1 4 0 1 0 3 1 0 1 0 0 0 0 0 1 0 7 0 3 0 0 0 7 0 2 1 5 0 0 0 1 2 0 0 0 5 0 0 0 9 0 3 0 0 0 1 0 0 6 0 0 0 0 0 5 1 0 3 0 0 0 1 0 0 3 0 8 0 3 0 0 0 3 3 0 0 10 1 0 7 0 1 0 0 0 3 1 0 0 0 0 1 1 0 0 1 4 0 0 0 2 3 2 0 0 0 0 1 1 4 3 1 0 0 1 0 4 2 0 2 3 0 0 3 0 0 0 3 0 4 1 7 0 0 0 2 0 0 2 0 0 1 2 0 0 0 0 0 3 1 11 1 6 0 0 0 0 2 0 0 4 0 2 1 0 1 2 0 0 1 1 0 1 1 1 0 3 4 4 1 8 3 5 0 3 3 0 2 0 0 0 0
"Usp2" 0 1 0 8 0 2 0 0 1 0 0 1 0 0 2 0 1 1 0 0 0 1 0 0 7 1 0 0 0 0 1 0 3 0 3 0 1 0 3 5 0 0 1 0 0 0 0 7 1 3 0 3 0 1 0 0 1 0 0 0 0 0 7 3 0 0 0 0 0 2 1 0 4 0 2 0 0 0 0 0 1 0 1 1 6 1 1 3 0 0 0 1 0 2 2 0 0 0 1 1 1 1 3 0 2 0 1 0 2 3 1 0 0 0 0 2 3 1 4 0 0 1 0 0 2 2 5 3 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 5 0 0 1 1 0 4 0 2 0 0 0 2 3 2 6 2 5 1 2 0 0 1 0 0 1 0 2 0 0 0 6 0 3 0 0 0 1 1 0 0 1 0 1 0 0 0 3 0 1 3 0 0 0 0 0 1
"Gabra1" 1 1 0 20 2 0 7 8 1 12 9 15 0 4 2 0 11 1 0 0 0 0 0 0 13 0 80 0 0 0 11 1 11 5 19 9 0 0 16 56 0 0 3 37 0 0 8 50 1 7 2 5 0 27 0 0 13 0 0 32 0 1 38 28 0 0 42 6 0 1 9 0 15 1 35 0 1 0 0 0 63 9 7 0 38 4 0 11 1 6 0 1 2 14 58 0 0 0 0 93 3 0 5 0 12 1 0 0 19 4 8 0 0 0 0 9 6 16 26 11 0 0 19 0 9 35 16 1 9 0 0 9 0 0 12 7 0 22 1 5 0 0 0 5 1 0 6 0 0 10 12 1 0 4 2 55 5 5 31 24 43 0 0 0 0 0 0 33 95 0 10 4 2 2 15 0 7 19 0 0 4 0 13 0 17 0 22 0 27 7 7 1 4 9 0 0 0 0 0 0
"Slitrk4" 0 2 0 1 0 0 0 3 0 0 0 2 0 2 0 0 1 0 5 0 0 0 0 0 2 0 1 0 0 0 4 10 2 6 3 1 0 0 6 1 0 0 3 2 0 0 3 2 0 2 0 2 0 4 0 0 1 0 0 2 0 0 3 0 0 0 3 0 0 3 0 0 4 0 4 0 0 0 0 0 0 0 0 0 6 0 0 5 0 0 0 0 1 2 6 0 0 0 0 6 0 0 0 1 1 0 0 0 2 1 3 0 0 0 0 2 0 0 9 5 0 0 2 0 3 2 2 2 3 0 0 2 0 0 1 1 0 3 0 2 0 0 0 1 0 0 1 0 0 3 0 1 0 0 0 2 5 1 10 1 1 0 0 0 0 0 0 2 4 0 3 0 0 0 1 0 2 1 0 0 6 1 1 0 6 0 1 0 2 3 3 0 0 4 0 0 0 0 0 0
"Plcb1" 0 2 0 24 0 1 4 10 1 7 0 1 0 6 2 0 7 0 14 1 0 1 0 3 5 1 6 0 1 0 6 0 6 0 5 2 0 0 2 7 0 2 0 1 0 0 4 24 0 0 6 4 0 10 1 0 7 0 0 2 0 2 22 4 0 1 9 0 0 0 5 0 7 0 4 0 4 1 0 0 0 1 2 1 21 4 0 12 0 1 1 0 0 5 6 0 0 0 0 8 2 0 8 0 6 0 0 0 0 11 0 0 2 1 0 7 9 3 14 1 0 0 1 0 0 3 14 8 8 0 0 13 1 0 1 1 0 7 0 4 0 0 0 5 0 0 8 2 0 1 8 1 0 2 1 13 16 8 18 11 4 0 0 1 0 1 0 2 7 1 0 1 0 1 9 0 1 2 0 0 17 0 2 1 5 4 0 2 5 2 6 0 3 7 0 0 1 3 0 0
"Nbr1" 0 0 0 1 2 0 1 1 2 3 4 0 0 1 0 0 0 3 1 0 2 2 0 0 2 2 1 0 0 0 4 0 2 2 5 0 0 1 0 4 0 0 0 2 1 0 0 0 0 0 2 2 0 3 0 0 4 0 2 0 1 1 5 2 0 2 5 2 0 0 6 0 3 1 3 1 3 0 1 0 1 1 0 0 4 1 1 7 1 1 0 0 1 1 0 0 0 1 0 4 2 2 3 3 1 5 0 0 1 3 3 0 1 1 0 3 0 1 4 0 4 1 2 1 1 1 0 2 0 0 0 0 1 0 0 0 1 3 0 0 1 0 2 0 1 1 0 0 1 2 4 1 1 0 2 1 2 3 2 0 2 0 0 0 0 0 2 2 1 0 2 0 0 1 2 0 1 0 1 1 2 1 2 0 1 1 1 0 2 1 1 0 0 3 2 0 1 0 0 0
"9330159F19Rik" 0 1 1 6 0 0 0 2 3 0 1 1 1 0 1 0 1 1 2 0 0 1 0 2 4 1 2 0 0 0 6 0 2 1 2 1 0 0 1 0 1 1 6 0 0 0 0 10 0 1 1 0 0 4 0 0 0 0 0 1 0 0 7 1 0 1 2 1 0 1 1 0 3 1 2 1 1 3 0 0 1 1 0 0 4 1 0 2 0 1 1 0 0 2 1 1 0 1 0 2 1 0 3 0 5 0 0 0 2 2 3 0 0 0 0 3 1 0 5 1 0 1 0 0 2 1 4 4 5 2 0 3 2 2 1 3 0 0 0 1 0 0 2 1 0 0 1 0 0 1 0 0 1 1 0 2 3 5 4 2 3 0 0 0 0 2 0 0 5 0 0 3 1 2 2 0 1 1 0 0 1 2 2 0 4 0 0 1 6 1 0 0 1 2 0 1 1 0 0 0
"Etnk1" 2 0 5 9 0 2 3 6 0 16 3 0 0 1 1 0 3 1 14 3 0 2 1 0 5 3 5 0 1 0 6 7 7 0 4 4 0 0 10 1 0 0 1 12 0 0 1 9 3 0 3 3 0 1 1 0 3 0 1 2 0 3 5 4 1 1 4 0 2 0 11 0 9 0 1 0 3 0 1 0 5 10 1 0 3 4 2 8 1 2 1 0 2 5 7 1 0 0 0 4 3 0 2 0 4 0 0 0 0 3 10 1 4 2 0 1 2 3 9 1 0 0 1 0 0 7 5 4 5 0 0 4 1 0 2 7 3 5 0 1 1 1 0 4 0 2 4 0 0 0 11 1 0 1 0 5 12 0 9 4 9 0 0 0 1 3 0 4 16 0 2 2 1 0 1 0 2 5 0 1 1 4 0 0 9 2 0 0 8 7 9 1 4 3 2 0 0 0 0 0
"Scn8a" 1 0 1 20 0 3 6 2 0 4 1 0 0 3 4 2 8 1 21 1 1 3 0 0 10 1 7 0 0 1 9 0 16 1 3 1 0 4 5 6 0 1 7 6 0 0 2 27 1 5 1 0 1 8 0 0 5 0 0 3 0 1 22 5 1 3 5 0 0 0 3 0 18 0 13 0 0 0 0 1 4 2 3 0 17 5 0 23 0 1 0 1 0 16 6 0 0 0 0 2 0 0 1 2 17 0 0 0 3 15 4 2 0 0 0 11 10 4 21 3 0 0 6 0 5 4 2 2 14 1 0 9 0 0 4 10 0 1 1 14 1 0 0 9 0 0 5 0 0 5 5 1 0 0 1 18 8 9 25 4 18 0 1 1 0 4 0 1 18 0 0 1 0 5 16 0 5 2 0 0 6 1 7 0 16 2 3 0 9 10 14 0 2 3 1 1 0 0 0 0
"Fgf13" 0 0 0 4 0 0 6 15 0 12 0 5 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 2 9 0 0 2 0 0 0 3 7 0 0 0 0 0 0 20 7 0 0 0 0 0 0 0 0 0 0 0 0 0 2 10 7 0 0 26 0 0 1 2 0 1 0 16 0 0 0 0 0 32 2 0 0 4 0 0 1 0 1 0 0 0 2 16 0 0 0 0 8 6 0 2 0 1 0 1 0 3 2 1 0 0 0 0 2 2 0 4 0 0 0 0 0 0 6 22 0 2 0 0 3 0 0 0 1 0 0 0 1 0 0 0 3 0 0 2 0 0 0 7 0 0 3 0 5 3 6 4 0 1 0 0 0 0 0 0 6 0 0 0 3 0 1 2 0 2 3 0 0 6 0 0 0 0 0 4 0 1 0 2 0 3 2 0 0 0 0 0 0
"Cyp46a1" 0 2 1 4 0 1 1 5 0 6 0 1 0 0 0 0 3 0 13 0 0 1 0 0 0 0 4 0 0 0 1 2 1 1 0 0 0 0 1 2 0 0 0 0 1 0 2 4 0 1 0 0 0 2 0 0 2 0 0 0 0 1 11 2 0 0 3 0 0 2 5 0 7 0 4 1 0 0 0 0 5 0 0 0 6 0 0 7 0 0 0 0 0 1 4 1 0 0 0 3 0 1 2 0 2 0 0 0 1 1 0 0 0 0 0 0 3 0 7 0 0 0 1 0 0 6 3 2 1 0 0 3 0 0 2 3 1 4 1 3 0 0 0 1 0 0 0 0 2 1 1 1 0 0 0 4 8 1 5 3 3 0 0 0 0 3 0 1 5 0 4 2 0 0 12 0 1 0 0 1 1 1 1 0 3 0 3 0 1 1 1 0 3 4 0 0 1 0 0 0
"Fbxl3" 0 0 0 4 0 0 3 3 0 0 3 1 1 2 3 0 3 3 6 0 0 0 0 1 3 3 0 0 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 1 0 2 0 13 0 2 1 0 0 2 0 0 0 0 0 4 2 0 6 5 1 0 6 1 0 0 2 0 5 1 0 0 1 0 0 0 3 1 1 0 2 1 4 3 1 4 0 0 0 0 1 2 1 0 0 0 2 2 1 0 1 4 0 0 2 4 3 1 2 0 0 1 1 0 3 1 1 0 1 0 0 0 1 0 2 1 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 1 4 1 2 2 0 0 0 0 0 0 0 2 1 0 1 1 0 1 1 0 1 0 0 0 3 0 5 0 3 1 0 2 0 2 2 0 7 0 0 5 1 0 1 0
"Bsn" 1 1 1 10 0 1 3 6 4 5 1 1 0 0 0 0 2 0 14 3 0 0 2 0 7 0 5 0 0 0 1 12 1 0 0 4 0 3 1 5 0 0 4 1 0 0 1 3 0 0 0 1 1 2 0 0 1 0 1 2 0 2 5 2 0 2 7 0 0 4 4 0 5 1 12 0 1 1 0 0 8 0 1 0 6 3 2 10 4 4 0 0 1 1 3 0 0 1 0 2 1 0 3 0 4 0 0 0 0 5 3 0 0 0 0 2 1 1 15 1 0 0 1 0 2 6 2 1 3 0 0 4 5 0 1 1 0 0 1 3 0 0 0 0 0 0 4 0 0 0 6 0 1 0 0 3 10 3 5 1 5 0 1 0 0 3 0 0 9 0 2 0 1 0 6 0 1 3 0 0 4 0 1 1 4 1 5 0 2 3 2 0 3 2 0 0 0 1 0 0
"Inpp4a" 0 0 0 6 0 0 2 1 0 2 0 0 0 1 0 0 0 0 7 0 0 0 0 0 4 0 1 0 0 0 1 1 3 0 2 2 0 0 1 1 0 0 0 4 0 0 0 3 0 0 1 0 0 2 0 0 2 0 0 2 1 0 8 8 0 2 1 0 0 0 2 0 4 0 1 0 1 0 0 0 1 1 1 0 5 2 0 6 0 0 0 0 1 2 3 1 0 1 0 3 2 0 1 0 6 0 1 1 0 3 3 0 0 0 0 1 0 0 4 0 0 0 2 0 0 3 0 0 2 0 0 1 0 0 1 0 0 4 0 1 0 0 0 1 0 0 0 0 0 2 3 1 0 0 1 1 4 0 7 1 4 0 0 1 0 1 0 3 10 0 0 1 0 0 2 0 3 1 0 0 2 0 1 0 9 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0
"Smarca2" 1 0 2 10 0 0 4 10 2 4 4 2 0 1 1 1 4 0 24 1 0 1 0 0 4 4 6 0 0 1 2 1 3 4 6 1 0 0 3 13 0 1 4 9 0 0 6 10 0 1 2 5 1 6 0 0 2 0 1 1 0 3 10 4 0 2 6 0 1 3 5 0 6 0 7 3 9 0 3 0 4 4 4 0 7 2 1 6 3 2 0 1 3 6 1 2 0 1 0 5 2 0 4 0 4 1 0 0 5 5 6 0 1 0 0 1 1 0 7 7 0 2 0 2 1 8 7 6 2 0 0 3 0 0 0 0 0 4 0 3 0 0 0 6 0 0 1 0 0 5 3 1 0 1 1 6 10 5 13 3 7 0 3 1 0 9 0 0 25 0 4 0 0 3 6 0 4 9 1 1 3 0 0 3 5 5 5 0 4 2 9 0 2 0 0 1 1 0 0 1
"Kcna2" 0 1 1 5 0 2 2 7 0 0 3 0 0 2 1 1 4 0 29 0 0 0 0 3 2 0 6 0 0 1 8 3 4 2 2 1 2 0 7 6 0 2 3 7 0 0 4 9 0 2 0 12 0 0 0 0 3 0 0 2 0 10 4 3 1 4 5 0 0 2 8 0 6 0 4 0 4 1 0 0 3 0 3 0 4 1 3 6 5 1 0 0 2 3 7 0 0 1 0 6 2 0 2 0 2 0 0 0 4 2 9 0 0 0 0 5 1 1 4 3 0 1 1 0 1 14 7 1 3 0 0 4 0 0 2 1 1 7 0 3 1 0 0 1 0 0 9 1 3 4 1 1 0 0 1 6 5 1 5 2 5 1 1 0 0 0 1 2 36 0 0 0 0 1 1 0 1 5 1 1 3 0 2 0 4 0 3 0 17 1 4 0 0 1 0 1 1 0 0 0
